score,title,company,location,url,why
0,"Director, Software Engineering (Python, Individual Contributor)",Fidelity Investments,"US, New Jersey, Hudson County, Five Corners",https://www.adzuna.com/land/ad/5449018092?se=HgUEuhGs8BGgYZTupGgQTw&utm_medium=api&utm_source=d27e7d2a&v=3FD6D57ABDDE42E9FC23A26713B778FE88F7E893,"```json
{""score"": 45, ""explanation"": ""The candidate has strong experience in software engineering and a focus on fintech, which aligns with the job's industry. However, the position is for a Director "
0,Software Engineer,Yext,"US, New York, New York City, Manhattan, Grand Central",https://www.adzuna.com/land/ad/5446714612?se=HgUEuhGs8BGgYZTupGgQTw&utm_medium=api&utm_source=d27e7d2a&v=4EE74FCDFBCE0C2D6CD52D5A6918CF19333950A4,"```json
{""score"": 70, ""explanation"": ""The candidate has relevant experience as a software engineer and a strong background in backend systems and automation, which aligns with the role. However, the j"
0,Software Engineer,Yext,"US, New York, New York City, Manhattan, Grand Central",https://www.adzuna.com/land/ad/5446714501?se=HgUEuhGs8BGgYZTupGgQTw&utm_medium=api&utm_source=d27e7d2a&v=6B8D0140801014B569825AF57F1FE65DD5F94BF6,"```json
{""score"": 75, ""explanation"": ""The candidate has relevant experience as a software engineer and a strong background in backend systems, which aligns well with the role. However, the job is loca"
0,Software Engineer,SendGrid,"US, New York, New York City, Manhattan, Grand Central",https://www.adzuna.com/land/ad/5381313805?se=HgUEuhGs8BGgYZTupGgQTw&utm_medium=api&utm_source=d27e7d2a&v=80AB75A67413A81907B003CBEBCCEFE7648B17D9,"```json
{""score"": 70, ""explanation"": ""The candidate has relevant experience as a software engineer and a strong background in backend systems and full-stack development. However, the job is located in"
0,Software Engineer,SendGrid,"US, New York, New York City, Manhattan, Grand Central",https://www.adzuna.com/land/ad/5381313841?se=HgUEuhGs8BGgYZTupGgQTw&utm_medium=api&utm_source=d27e7d2a&v=714C9597A060D8A62DB26E5C1C80BD262A7C16C5,"```json
{""score"": 70, ""explanation"": ""The candidate has relevant experience as a software engineer and a strong background in backend systems and full-stack development. However, the job is located in"
0,Software Engineer,"40HRS, Inc.","US, New York, New York City, Manhattan, Church Street",https://www.adzuna.com/land/ad/5428740222?se=HgUEuhGs8BGgYZTupGgQTw&utm_medium=api&utm_source=d27e7d2a&v=9EEA9B8F55880BD072E4472B9B0602308758B9AA,"```json
{""score"": 75, ""explanation"": ""The candidate has relevant experience as a Software Engineer and a strong background in backend systems, which aligns well with the role. However, the job locatio"
0,Software Engineer,Robert Half,"US, New York, New York City",https://www.adzuna.com/land/ad/5453660704?se=HgUEuhGs8BGgYZTupGgQTw&utm_medium=api&utm_source=d27e7d2a&v=873F7D81A690BBA3BD75B16C6F4E560F7D72CC3E,"```json
{""score"": 75, ""explanation"": ""The candidate has relevant experience as a software engineer and a strong background in backend systems, which aligns well with the role. However, the job is loca"
0,Senior Software Engineer,Zip,"US, New York, New York City, Manhattan, Grand Central",https://www.adzuna.com/land/ad/5415098910?se=HgUEuhGs8BGgYZTupGgQTw&utm_medium=api&utm_source=d27e7d2a&v=2A7FEE16017BD1ADE3173AA0BF04E53328CD9D67,"```json
{""score"": 75, ""explanation"": ""The candidate has relevant experience in software engineering and a strong focus on fintech, which aligns well with the role at Zip. However, the position is for "
0,Software Engineer,Sales Demo - Tim Zhang,"US, New Jersey, Hudson County, Jersey City",https://www.adzuna.com/land/ad/5453330179?se=HgUEuhGs8BGgYZTupGgQTw&utm_medium=api&utm_source=d27e7d2a&v=9D6C2C6399B4D6C82D41CBC8FAAA00B55272E561,"```json
{""score"": 85, ""explanation"": ""The candidate has relevant experience as a Software Engineer and has worked with technologies that align well with the job requirements. The location in Jersey Ci"
0,Senior Software Engineer,Genesis10,"US, New York, New York City, Manhattan, Gramercy Park and Murray Hill",https://www.adzuna.com/land/ad/5428740278?se=HgUEuhGs8BGgYZTupGgQTw&utm_medium=api&utm_source=d27e7d2a&v=5B0699B2D3C97A0CCE306D4037607DB56D59629B,"```json
{""score"": 60, ""explanation"": ""The candidate has solid experience as a software engineer, particularly in backend systems and fintech, which aligns with the job's focus. However, the position i"
